CCN        CRP                    C          CN                                            1.000e+03  0.000e+00  0.000e+00 1.25e+00 0.00e+00 logn  2  -9999   9999  1    62 1  1
HCOOH      CRP                    HCOOH+     e-                                            6.500e+02  0.000e+00  0.000e+00 2.00e+00 0.00e+00 logn  2  -9999   9999  1   139 1  1
H2         Photon                 H          H                                             3.400e-11  0.000e+00  2.500e+00 2.00e+00 0.00e+00 logn  3  -9999   9999  2   303 1  1
HCCNC      He+                    He         CCH        CN+                                2.500e-01  3.030e-09  4.170e+00 2.00e+00 0.00e+00 logn  4     10    800  4   946 1  1
CH2        CH2+                   H          C2H3+                                         1.000e+00  1.290e-09  1.410e+00 2.00e+00 0.00e+00 logn  4     10    149  4  1283 1  1
C2H4       l-C3H2+                CH3        C4H3+                                         3.000e-10  0.000e+00  0.000e+00 2.00e+00 0.00e+00 logn  4     10    280  3  1411 1  1
c-C3H2     C4H+                   H          C7H2+                                         1.000e+00  1.080e-09  5.540e+00 2.00e+00 0.00e+00 logn  4     10    800  4  1458 1  1
CN         H3+                    H2         HCN+                                          1.000e+00  2.420e-09  2.840e+00 2.00e+00 0.00e+00 logn  4    607    800  5  1997 2  1
HNO        H3+                    H2         H2NO+                                         1.000e+00  2.080e-09  3.990e+00 2.00e+00 0.00e+00 logn  4     10    800  4  2039 1  1
CN         CH+                    H          C2N+                                          6.670e-01  1.350e-09  2.840e+00 2.00e+00 0.00e+00 logn  4    607    800  5  2886 2  1
C5H3+      C10H-                  H          C5H2       C10H                               7.510e-08 -5.000e-01  0.000e+00 2.00e+00 0.00e+00 logn  4     10    280  3  3563 1  1
C5H3+      C3N-                   H          C3N        C5H2                               7.510e-08 -5.000e-01  0.000e+00 2.00e+00 0.00e+00 logn  4     10    280  3  3564 1  1
He+        C10H2                  C          H          He         C9H+                    6.790e-10  0.000e+00  0.000e+00 2.00e+00 0.00e+00 logn  4     10    280  3  4268 1  1
CH3        C4H3                   CCH        C3H5                                          1.200e-10  0.000e+00  0.000e+00 1.00e+01 1.00e+02 logn  4     50    200  3  4384 1  1
Fe+        C6H-                   Fe         C6H                                           7.510e-08 -5.000e-01  0.000e+00 2.00e+00 0.00e+00 logn  5     10    280  3  5710 1  1
P+         C5H-                   P          C5H                                           7.510e-08 -5.000e-01  0.000e+00 2.00e+00 0.00e+00 logn  5     10    280  3  5870 1  1
H2S+       C9H-                   H2S        C9H                                           7.510e-08 -5.000e-01  0.000e+00 2.00e+00 0.00e+00 logn  5     10    280  3  5935 1  1
N2H+       e-                     N          NH                                            1.300e-08 -8.400e-01  0.000e+00 1.60e+00 0.00e+00 logn  8     10   1000  3  6650 2  3
